execucao_id,cenario,familia_intencionada,classe,ids,n_alertas,n_corretos,n_errados,familias_detectadas,rotulo,familia_prevista
campanha02-benigno-ssh-benigno-r08,benigno-ssh,ssh,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r08,benigno-ssh,ssh,benigno,zeek,0,0,0,-,TN,-
campanha02-benigno-scan-benigno-r05,benigno-scan,scan,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-scan-benigno-r05,benigno-scan,scan,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-scan-benigno-r05,benigno-scan,scan,benigno,zeek,0,0,0,-,TN,-
campanha02-benigno-icmp-benigno-r02,benigno-icmp,icmp,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-icmp-benigno-r02,benigno-icmp,icmp,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-icmp-benigno-r02,benigno-icmp,icmp,benigno,zeek,0,0,0,-,TN,-
campanha02-benigno-icmp-benigno-r08,benigno-icmp,icmp,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-icmp-benigno-r08,benigno-icmp,icmp,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-icmp-benigno-r08,benigno-icmp,icmp,benigno,zeek,0,0,0,-,TN,-
campanha02-benigno-scan-benigno-r14,benigno-scan,scan,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-scan-benigno-r14,benigno-scan,scan,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-scan-benigno-r14,benigno-scan,scan,benigno,zeek,2,0,0,nao-mapeado,TN,-
campanha02-benigno-mix-benigno-r13,benigno-mix,mix,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r13,benigno-mix,mix,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r13,benigno-mix,mix,benigno,zeek,0,0,0,-,TN,-
campanha02-xss-scanner-malicioso-r12,xss-scanner,xss,malicioso,suricata,619,2,372,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r12,xss-scanner,xss,malicioso,snort,537,2,262,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r12,xss-scanner,xss,malicioso,zeek,277,2,0,nao-mapeado;xss,TP,xss
campanha02-benigno-mix-benigno-r04,benigno-mix,mix,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r04,benigno-mix,mix,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r04,benigno-mix,mix,benigno,zeek,0,0,0,-,TN,-
campanha02-syn-flood-malicioso-r08,syn-flood,flood-syn,malicioso,suricata,2,2,0,flood-syn,TP,flood-syn
campanha02-syn-flood-malicioso-r08,syn-flood,flood-syn,malicioso,snort,347,347,0,flood-syn,TP,flood-syn
campanha02-syn-flood-malicioso-r08,syn-flood,flood-syn,malicioso,zeek,341,0,340,nao-mapeado;scan,ERRO_CLASSIF,scan
campanha02-port-scanner-tcp-malicioso-r07,port-scanner-tcp,scan,malicioso,suricata,0,0,0,-,FN_PURO,NENHUM
campanha02-port-scanner-tcp-malicioso-r07,port-scanner-tcp,scan,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
